uid	iid	label	sequence
7188	116	1	104,101,102,23
7188	317	1	101,102,23,116
7188	327	1	102,23,116,317
15465	173	1	4941,1026,62,4851
15465	3394	1	1026,62,4851,173
15465	989	1	62,4851,173,3394
15465	99	1	4851,173,3394,989
15465	290	1	173,3394,989,99
15465	2131	1	3394,989,99,290
15465	392	1	989,99,290,2131
15465	1073	1	99,290,2131,392
12076	2604	1	494,951,961,1283
15465	1580	1	290,2131,392,1073
7188	158	1	23,116,317,327
7188	256	1	116,317,327,158
7188	740	1	317,327,158,256
15465	5010	1	2131,392,1073,1580
7188	129	1	327,158,256,740
7188	494	1	158,256,740,129
7188	262	1	256,740,129,494
7188	493	1	740,129,494,262
15465	420	1	392,1073,1580,5010
7188	99	1	129,494,262,493
15465	1101	1	1073,1580,5010,420
15465	560	1	1580,5010,420,1101
7029	574	1	571,1093,573,572
7029	560	1	1093,573,572,574
15465	1051	1	5010,420,1101,560
7188	295	1	494,262,493,99
7188	728	1	262,493,99,295
11223	1274	1	46,74,83,47
15465	1017	1	420,1101,560,1051
9654	596	1	592,595,3405,3409
15465	966	1	1101,560,1051,1017
15465	3100	1	560,1051,1017,966
7188	110	1	493,99,295,728
11386	571	1	672,574,150,561
15465	948	1	1051,1017,966,3100
15465	1036	1	1017,966,3100,948
4428	1015	1	1041,891,564,1086
609	706	1	745,1024,57,697
4428	1093	1	891,564,1086,1015
4428	1023	1	564,1086,1015,1093
7188	161	1	99,295,728,110
1863	367	1	1066,564,1093,45
4428	394	1	1086,1015,1093,1023
4428	619	1	1015,1093,1023,394
19849	366	1	30,2542,162,112
4428	430	1	1093,1023,394,619
7188	96	1	295,728,110,161
7188	115	1	728,110,161,96
7188	202	1	110,161,96,115
7188	981	1	161,96,115,202
15465	582	1	966,3100,948,1036
15465	1439	1	3100,948,1036,582
15465	5507	1	948,1036,582,1439
7188	160	1	96,115,202,981
7188	208	1	115,202,981,160
7188	2097	1	202,981,160,208
15465	1055	1	1036,582,1439,5507
7188	3645	1	981,160,208,2097
7188	895	1	160,208,2097,3645
7188	4863	1	208,2097,3645,895
15465	1959	1	582,1439,5507,1055
4751	2022	1	185,2026,715,1583
11244	1427	1	430,777,891,1078
19922	181	1	1121,512,844,110
7188	408	1	2097,3645,895,4863
11783	1196	1	64,88,150,385
11783	560	1	88,150,385,1196
11783	571	1	150,385,1196,560
11783	574	1	385,1196,560,571
7188	407	1	3645,895,4863,408
11783	2583	1	1196,560,571,574
15465	866	1	1439,5507,1055,1959
7188	3803	1	895,4863,408,407
569	98	1	30,52,53,96
19565	241	1	1595,418,419,2720
15465	1242	1	5507,1055,1959,866
18645	955	1	31,956,913,729
7188	1129	1	4863,408,407,3803
6682	3768	1	2987,933,387,784
15465	1132	1	1055,1959,866,1242
7188	426	1	408,407,3803,1129
7188	734	1	407,3803,1129,426
3599	1094	1	1023,1040,1041,1425
3599	777	1	1040,1041,1425,1094
15465	561	1	1959,866,1242,1132
15465	1119	1	866,1242,1132,561
4660	1274	1	1279,259,520,175
4660	1166	1	259,520,175,1274
6682	949	1	933,387,784,3768
7188	1958	1	3803,1129,426,734
15465	572	1	1242,1132,561,1119
6682	1971	1	387,784,3768,949
15465	43	1	1132,561,1119,572
19849	801	1	2542,162,112,366
7188	980	1	1129,426,734,1958
3039	256	1	175,204,850,65
3039	262	1	204,850,65,256
3039	416	1	850,65,256,262
3039	958	1	65,256,262,416
19849	863	1	162,112,366,801
3599	1053	1	1041,1425,1094,777
15465	784	1	561,1119,572,43
16399	3753	1	1403,3750,3751,1221
7157	4710	1	839,905,3670,3693
15465	2736	1	1119,572,43,784
15465	4305	1	572,43,784,2736
7157	1827	1	905,3670,3693,4710
19565	417	1	418,419,2720,241
7188	1611	1	426,734,1958,980
19565	257	1	419,2720,241,417
19565	262	1	2720,241,417,257
7188	144	1	734,1958,980,1611
2489	2584	1	664,844,997,1273
19565	1015	1	241,417,257,262
19565	1596	1	417,257,262,1015
7188	1310	1	1958,980,1611,144
6682	1596	1	784,3768,949,1971
15465	2226	1	43,784,2736,4305
19565	3645	1	257,262,1015,1596
19565	4863	1	262,1015,1596,3645
19849	2412	1	112,366,801,863
19849	782	1	366,801,863,2412
15465	1199	1	784,2736,4305,2226
19849	842	1	801,863,2412,782
19849	777	1	863,2412,782,842
3971	574	1	561,572,560,562
19565	420	1	1015,1596,3645,4863
15465	1078	1	2736,4305,2226,1199
15465	384	1	4305,2226,1199,1078
4660	331	1	520,175,1274,1166
7157	3756	1	3670,3693,4710,1827
15465	1094	1	2226,1199,1078,384
7157	98	1	3693,4710,1827,3756
7157	1161	1	4710,1827,3756,98
15465	1682	1	1199,1078,384,1094
7157	444	1	1827,3756,98,1161
7157	3939	1	3756,98,1161,444
15465	2051	1	1078,384,1094,1682
3971	40	1	572,560,562,574
7188	1078	1	980,1611,144,1310
6682	394	1	3768,949,1971,1596
15465	1707	1	384,1094,1682,2051
2801	416	1	418,419,417,3100
3971	1596	1	560,562,574,40
19565	742	1	1596,3645,4863,420
19849	1269	1	2412,782,842,777
19565	986	1	3645,4863,420,742
3971	384	1	562,574,40,1596
16292	3670	1	192,681,1466,1456
15465	229	1	1094,1682,2051,1707
3599	1427	1	1425,1094,777,1053
19565	909	1	4863,420,742,986
19849	2843	1	782,842,777,1269
19849	188	1	842,777,1269,2843
15465	4538	1	1682,2051,1707,229
7157	917	1	98,1161,444,3939
1888	1129	1	1245,192,1162,1244
1888	1458	1	192,1162,1244,1129
1888	1239	1	1162,1244,1129,1458
14136	103	1	648,30,1274,731
19922	1748	1	512,844,110,181
19922	664	1	844,110,181,1748
19922	3725	1	110,181,1748,664
19565	1630	1	420,742,986,909
3971	268	1	574,40,1596,384
19922	2300	1	181,1748,664,3725
3039	2300	1	256,262,416,958
19565	259	1	742,986,909,1630
19565	2300	1	986,909,1630,259
7188	1221	1	1611,144,1310,1078
7722	2300	1	20,70,17,429
3245	2300	1	560,842,47,59
7188	1401	1	144,1310,1078,1221
9055	1153	1	1136,366,256,1152
6682	800	1	949,1971,1596,394
3599	3537	1	1094,777,1053,1427
3599	3228	1	777,1053,1427,3537
15465	1231	1	2051,1707,229,4538
15465	1183	1	1707,229,4538,1231
22322	777	1	564,1596,791,1977
15202	5617	1	628,715,1827,1930
6682	408	1	1971,1596,394,800
19565	2337	1	909,1630,259,2300
14632	780	1	777,1068,1070,565
14632	1057	1	1068,1070,565,780
14632	1063	1	1070,565,780,1057
15465	2337	1	229,4538,1231,1183
3971	891	1	40,1596,384,268
14632	1013	1	565,780,1057,1063
14632	1029	1	780,1057,1063,1013
19922	1945	1	1748,664,3725,2300
19922	3802	1	664,3725,2300,1945
21341	734	1	1596,3755,3668,2452
1713	3802	1	2300,2310,2342,2664
19565	2664	1	1630,259,2300,2337
15465	2342	1	4538,1231,1183,2337
17011	2342	1	209,253,1162,1368
14632	808	1	1057,1063,1013,1029
19922	2664	1	3725,2300,1945,3802
22116	2341	1	167,1162,2732,5719
668	2310	1	3671,1182,130,184
5653	390	1	2122,262,733,387
6682	69	1	1596,394,800,408
19849	2477	1	777,1269,2843,188
5704	3838	1	667,70,649,77
17636	2966	1	1051,791,2337,2342
21341	412	1	3755,3668,2452,734
15148	1583	1	1596,1487,3923,910
5332	2310	1	209,2300,2337,2342
5332	2664	1	2300,2337,2342,2310
14690	2310	1	2337,2341,2115,2380
