uid	iid	label	sequence
21655	38	1	33,39,40,30
21655	60	1	39,40,30,38
21655	58	1	40,30,38,60
21655	104	1	30,38,60,58
15404	53	1	68,50,67,87
15404	91	1	50,67,87,53
15404	126	1	67,87,53,91
3116	68	1	60,56,88,81
15404	55	1	87,53,91,126
21655	141	1	38,60,58,104
27416	133	1	73,71,111,124
3116	93	1	56,88,81,68
21655	144	1	60,58,104,141
4723	102	1	98,85,87,109
27416	155	1	71,111,124,133
21655	177	1	58,104,141,144
940	155	1	141,129,96,150
2671	138	1	47,137,94,91
2671	76	1	137,94,91,138
5567	214	1	76,95,148,196
4723	139	1	85,87,109,102
3116	249	1	88,81,68,93
25373	125	1	53,103,72,97
3116	245	1	81,68,93,249
21655	94	1	104,141,144,177
6290	287	1	90,120,93,124
4723	196	1	87,109,102,139
3116	44	1	68,93,249,245
27416	291	1	111,124,133,155
13000	124	1	87,93,103,109
13000	195	1	93,103,109,124
13000	283	1	103,109,124,195
15361	290	1	71,60,165,161
12521	273	1	248,29,435,252
3175	124	1	63,88,107,108
2671	289	1	94,91,138,76
2115	220	1	162,87,124,228
22994	238	1	217,220,231,156
19395	169	1	103,283,93,278
22994	259	1	220,231,156,238
18576	335	1	102,129,240,176
8947	344	1	77,164,262,325
2115	344	1	87,124,228,220
22994	262	1	231,156,238,259
3116	384	1	93,249,245,44
3116	344	1	249,245,44,384
22994	346	1	156,238,259,262
17799	384	1	72,8241,135,238
12521	374	1	29,435,252,273
12745	173	1	228,153,356,235
3116	374	1	245,44,384,344
3116	382	1	44,384,344,374
12521	393	1	435,252,273,374
6290	472	1	120,93,124,287
21807	336	1	53,93,27,245
21807	150	1	93,27,245,336
22994	353	1	238,259,262,346
21807	382	1	27,245,336,150
13982	439	1	53,245,423,472
19522	344	1	225,215,254,255
23343	18	1	87,401,471,139
940	299	1	129,96,150,155
6567	173	1	47,124,298,93
13982	526	1	245,423,472,439
13982	529	1	423,472,439,526
6290	534	1	93,124,287,472
12745	484	1	153,356,235,173
13982	566	1	472,439,526,529
19522	403	1	215,254,255,344
940	196	1	96,150,155,299
940	435	1	150,155,299,196
26784	439	1	335,292,871,489
13982	366	1	439,526,529,566
23343	566	1	401,471,139,18
13982	71	1	526,529,566,366
23343	557	1	471,139,18,566
19196	445	1	463,434,394,437
13982	503	1	529,566,366,71
13982	516	1	566,366,71,503
13982	629	1	366,71,503,516
22994	317	1	259,262,346,353
671	425	1	243,459,478,406
17799	635	1	8241,135,238,384
17799	636	1	135,238,384,635
2115	613	1	124,228,220,344
26784	622	1	292,871,489,439
19395	124	1	283,93,278,169
19395	162	1	93,278,169,124
12521	398	1	252,273,374,393
23343	272	1	139,18,566,557
19395	449	1	278,169,124,162
3116	613	1	384,344,374,382
19196	635	1	434,394,437,445
19196	637	1	394,437,445,635
26784	623	1	871,489,439,622
13982	689	1	71,503,516,629
23343	99	1	18,566,557,272
940	268	1	155,299,196,435
3116	464	1	344,374,382,613
13982	690	1	503,516,629,689
3886	524	1	236,147,263,602
26204	469	1	200,66,445,412
23343	232	1	566,557,272,99
11424	695	1	368,484,686,689
26204	600	1	66,445,412,469
23343	243	1	557,272,99,232
19522	547	1	254,255,344,403
19522	515	1	255,344,403,547
19522	516	1	344,403,547,515
21030	520	1	248,93,384,235
6567	366	1	124,298,93,173
26204	81	1	445,412,469,600
2671	418	1	91,138,76,289
25199	373	1	93,89,136,376
25199	450	1	89,136,376,373
25199	488	1	136,376,373,450
26204	48	1	412,469,600,81
2888	251	1	453,423,418,642
26204	354	1	469,600,81,48
26204	967	1	600,81,48,354
940	421	1	299,196,435,268
12231	570	1	174,234,418,476
23343	322	1	272,99,232,243
25813	549	1	33,111,257,155
23343	563	1	99,232,243,322
7378	423	1	93,435,417,303
7378	488	1	435,417,303,423
13982	812	1	516,629,689,690
13982	826	1	629,689,690,812
18969	215	1	155,453,445,394
4723	734	1	109,102,139,196
9678	722	1	244,475,813,835
16968	734	1	56,63,47,119
18362	734	1	87,273,292,439
2169	720	1	38,164,315,613
2888	476	1	423,418,642,251
18969	541	1	453,445,394,215
9678	719	1	475,813,835,722
6290	813	1	124,287,472,534
940	755	1	196,435,268,421
22994	653	1	262,346,353,317
5343	412	1	190,416,483,967
13982	733	1	689,690,812,826
814	246	1	47,103,213,489
2169	719	1	164,315,613,720
19522	691	1	403,547,515,516
27807	122	1	161,44,349,316
1486	826	1	299,534,366,529
16334	704	1	161,328,29,397
9678	895	1	813,835,722,719
9678	897	1	835,722,719,895
1780	638	1	45,155,734,709
1486	898	1	534,366,529,826
19522	712	1	547,515,516,691
12903	648	1	86,384,492,679
1416	841	1	63,93,484,515
27069	490	1	63,239,268,719
12745	557	1	356,235,173,484
9678	468	1	722,719,895,897
12745	813	1	235,173,484,557
24392	193	1	220,411,826,812
8829	490	1	111,613,720,468
27069	468	1	239,268,719,490
6567	468	1	298,93,173,366
12745	468	1	173,484,557,813
19864	468	1	56,193,196,613
23343	468	1	232,243,322,563
4723	468	1	102,139,196,734
26034	468	1	215,382,613,720
26438	895	1	858,908,835,846
2115	468	1	228,220,344,613
20714	468	1	63,81,107,613
14146	724	1	320,691,759,443
23343	478	1	243,322,563,468
5075	719	1	111,165,613,734
19522	695	1	515,516,691,712
24438	914	1	212,230,439,720
9664	468	1	231,353,217,734
13982	337	1	690,812,826,733
19522	196	1	516,691,712,695
22655	458	1	51,308,463,651
25823	813	1	414,660,503,895
26034	502	1	382,613,720,468
6414	500	1	166,405,755,758
27416	929	1	124,133,155,291
26034	326	1	613,720,468,502
21655	972	1	141,144,177,94
22994	405	1	346,353,317,653
19863	391	1	243,414,402,851
13902	895	1	484,813,846,835
13982	468	1	812,826,733,337
21124	992	1	110,382,613,720
6290	629	1	287,472,534,813
19863	64	1	414,402,851,391
19863	118	1	402,851,391,64
9664	528	1	353,217,734,468
26362	766	1	152,215,476,518
4449	702	1	56,109,827,836
23343	585	1	322,563,468,478
22994	355	1	353,317,653,405
5918	969	1	290,646,829,835
13982	589	1	826,733,337,468
11721	837	1	93,153,382,570
15704	1043	1	170,35,337,1022
26317	999	1	119,273,344,439
24918	959	1	19,648,649,709
27032	930	1	72,104,135,837
21807	1077	1	245,336,150,382
21807	1103	1	336,150,382,1077
21807	1104	1	150,382,1077,1103
3176	992	1	386,468,488,506
21807	1074	1	382,1077,1103,1104
14766	821	1	689,215,395,416
18969	734	1	445,394,215,541
18051	528	1	368,720,914,468
3868	1119	1	445,635,636,329
3191	1121	1	278,486,536,783
3191	711	1	486,536,783,1121
23059	1105	1	3843,533,539,904
21807	515	1	1077,1103,1104,1074
21807	547	1	1103,1104,1074,515
26204	1121	1	81,48,354,967
21124	823	1	382,613,720,992
23343	848	1	563,468,478,585
26204	1177	1	48,354,967,1121
14766	823	1	215,395,416,821
8882	822	1	92,295,432,411
8882	823	1	295,432,411,822
22535	316	1	93,385,895,969
2397	1241	1	126,484,251,813
23012	734	1	549,468,823,824
9612	614	1	137,583,972,824
19522	984	1	691,712,695,196
19522	985	1	712,695,196,984
27342	823	1	439,613,394,734
12846	1119	1	56,104,55,166
12846	1131	1	104,55,166,1119
18197	1188	1	63,171,314,459
17799	984	1	238,384,635,636
743	824	1	136,94,384,914
18051	211	1	720,914,468,528
8003	1227	1	344,415,402,821
19863	1077	1	851,391,64,118
6290	1241	1	472,534,813,629
13019	1079	1	250,1059,1064,1076
6716	1137	1	418,613,1000,1119
11074	1167	1	155,1164,1190,1227
21091	1157	1	734,1059,1104,1076
3091	847	1	418,303,284,462
27069	496	1	268,719,490,468
10428	834	1	238,405,584,779
9678	1006	1	719,895,897,468
23947	1006	1	423,399,635,1131
3410	1022	1	91,471,783,689
19404	636	1	215,361,389,53
20889	829	1	622,755,250,638
26204	1226	1	354,967,1121,1177
1780	660	1	155,734,709,638
1780	1447	1	734,709,638,660
21091	1102	1	1059,1104,1076,1157
7882	734	1	31,254,302,105
16061	518	1	215,646,824,821
4553	561	1	448,662,906,934
4553	1184	1	662,906,934,561
8003	211	1	415,402,821,1227
4650	1184	1	256,586,549,362
24807	1447	1	235,534,526,215
16196	1495	1	50,32,81,197
19863	1356	1	391,64,118,1077
