uid	iid	label	sequence
4698	204	1	23,165,284,25
4471	706	1	183,679,678,677
4471	59	1	679,678,677,706
4471	291	1	678,677,706,59
4471	671	1	677,706,59,291
4471	697	1	706,59,291,671
6185	762	1	509,515,666,691
4698	515	1	165,284,25,204
4698	630	1	284,25,204,515
10679	912	1	553,568,762,786
4698	725	1	25,204,515,630
13115	770	1	566,567,730,734
13115	919	1	567,730,734,770
13115	1111	1	730,734,770,919
13115	1269	1	734,770,919,1111
13115	1279	1	770,919,1111,1269
13115	1280	1	919,1111,1269,1279
13115	3393	1	1111,1269,1279,1280
373	1140	1	3407,3620,764,785
3299	1171	1	911,1174,1168,1169
3299	1172	1	1174,1168,1169,1171
1282	832	1	281,282,3274,3406
4698	118	1	204,515,630,725
6362	1370	1	1386,1387,1392,1389
4698	1143	1	515,630,725,118
4698	527	1	630,725,118,1143
4698	3285	1	725,118,1143,527
6362	1371	1	1387,1392,1389,1370
6362	1384	1	1392,1389,1370,1371
6362	1390	1	1389,1370,1371,1384
4698	506	1	118,1143,527,3285
3638	1259	1	1271,1272,1287,1288
4982	1430	1	221,219,270,258
4982	1154	1	219,270,258,1430
4501	506	1	314,2044,255,236
14134	882	1	451,523,527,900
357	545	1	900,527,815,1430
14009	545	1	1134,815,1430,527
4982	545	1	270,258,1430,1154
4501	1430	1	2044,255,236,506
4982	260	1	258,1430,1154,545
5735	545	1	1114,1154,3191,3285
4501	262	1	255,236,506,1430
4501	586	1	236,506,1430,262
5735	451	1	1154,3191,3285,545
14009	1154	1	815,1430,527,545
4501	545	1	506,1430,262,586
4501	900	1	1430,262,586,545
4501	1154	1	262,586,545,900
357	882	1	527,815,1430,545
4698	185	1	1143,527,3285,506
3638	1344	1	1272,1287,1288,1259
3502	506	1	900,527,3191,451
357	451	1	815,1430,545,882
357	3189	1	1430,545,882,451
1954	834	1	21,67,989,413
357	3285	1	545,882,451,3189
3638	24	1	1287,1288,1259,1344
3638	25	1	1288,1259,1344,24
4471	689	1	59,291,671,697
12801	319	1	858,919,513,321
5735	815	1	3191,3285,545,451
357	506	1	882,451,3189,3285
1954	164	1	67,989,413,834
1954	947	1	989,413,834,164
357	3191	1	451,3189,3285,506
3638	384	1	1259,1344,24,25
4698	132	1	527,3285,506,185
14009	126	1	1430,527,545,1154
4471	663	1	291,671,697,689
4982	4957	1	1430,1154,545,260
4131	791	1	307,500,529,498
1954	995	1	413,834,164,947
6618	1109	1	764,1120,1361,1110
1954	826	1	834,164,947,995
1954	3406	1	164,947,995,826
1954	3410	1	947,995,826,3406
14461	1127	1	1100,767,1176,604
14461	1339	1	767,1176,604,1127
9150	24	1	282,269,281,1105
4752	1261	1	733,1215,3271,763
1954	737	1	995,826,3406,3410
1954	744	1	826,3406,3410,737
12871	130	1	183,675,4402,688
3050	1380	1	255,4,179,3285
14461	779	1	1176,604,1127,1339
373	591	1	3620,764,785,1140
3050	3728	1	4,179,3285,1380
14461	782	1	604,1127,1339,779
1954	255	1	3406,3410,737,744
10708	919	1	3165,129,751,3434
4168	714	1	311,3170,636,3171
7323	911	1	4086,603,1009,223
14461	250	1	1127,1339,779,782
3502	603	1	527,3191,451,506
12097	1275	1	1482,569,856,922
3050	1178	1	179,3285,1380,3728
6362	1728	1	1370,1371,1384,1390
6775	3143	1	1430,702,3288,815
6775	3307	1	702,3288,815,3143
3050	3406	1	3285,1380,3728,1178
6775	3149	1	3288,815,3143,3307
12781	3394	1	3260,556,1357,3261
6618	3406	1	1120,1361,1110,1109
3638	2589	1	1344,24,25,384
6618	1258	1	1361,1110,1109,3406
10708	760	1	129,751,3434,919
6618	696	1	1110,1109,3406,1258
